Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
1,11.70,1.0000,50.00,11.70
2,149.50,1.0000,210.00,149.50
3,13.85,1.0000,50.00,13.85
4,113.90,1.0000,170.00,113.90
5,17.20,1.0000,45.00,17.20
6,88.50,1.0000,135.00,88.50
7,-27.55,1.0000,10.00,-27.55
8,63.75,1.0000,110.00,63.75
9,37.65,1.0000,65.00,37.65
10,5.45,1.0000,45.00,5.45
11,35.20,1.0000,80.00,35.20
12,158.30,1.0000,210.00,158.30
13,134.10,1.0000,180.00,134.10
14,108.70,1.0000,155.00,108.70
15,88.95,1.0000,135.00,88.95
16,72.40,1.0000,120.00,72.40
17,20.55,1.0000,55.00,20.55
18,150.05,1.0000,210.00,150.05
19,112.10,1.0000,165.00,112.10
20,506.90,1.0000,580.00,506.90
21,-8.90,0.9960,30.00,-8.90
22,140.45,0.9920,185.00,140.45
23,168.75,0.9880,235.00,168.75
24,105.35,0.9840,165.00,105.35
25,167.45,0.9800,240.00,167.45
26,99.65,0.9760,155.00,99.65
27,7.25,0.9720,35.00,7.25
28,165.50,0.9680,225.00,165.50
29,61.95,0.9640,105.00,61.95
30,65.75,0.9600,105.00,65.75
31,23.75,0.9560,65.00,23.75
32,71.25,0.9520,120.00,71.25
33,89.85,0.9480,125.00,89.85
34,-3.65,0.9440,30.00,-3.65
35,23.60,0.9400,65.00,23.60
36,258.20,0.9360,350.00,258.20
37,49.45,0.9320,75.00,49.45
38,8.80,0.9280,35.00,8.80
39,53.50,0.9240,90.00,53.50
40,162.90,0.9200,210.00,162.90
41,61.30,0.9160,105.00,61.30
42,163.20,0.9120,225.00,163.20
43,56.00,0.9080,80.00,56.00
44,43.15,0.9040,80.00,43.15
45,68.25,0.9000,105.00,68.25
46,91.15,0.8960,135.00,91.15
47,91.60,0.8920,135.00,91.60
48,134.75,0.8880,195.00,134.75
49,132.15,0.8840,180.00,132.15
50,64.15,0.8800,110.00,64.15
51,29.65,0.8760,85.00,29.65
52,354.25,0.8720,410.00,354.25
53,90.30,0.8680,135.00,90.30
54,70.65,0.8640,105.00,70.65
55,93.40,0.8600,145.00,93.40
56,29.65,0.8560,55.00,29.65
57,42.20,0.8520,80.00,42.20
58,315.40,0.8480,415.00,315.40
89,-4.20,0.7240,20.00,-4.20
90,159.45,0.7200,210.00,159.45
91,156.50,0.7160,210.00,156.50
92,184.40,0.7120,245.00,184.40
93,170.40,0.7080,225.00,170.40
94,191.05,0.7040,245.00,191.05
95,76.50,0.7000,110.00,76.50
96,72.60,0.6960,110.00,72.60
97,247.35,0.6920,310.00,247.35
98,129.20,0.6880,195.00,129.20
99,157.20,0.6840,210.00,157.20
100,164.75,0.6800,220.00,164.75
101,135.65,0.6760,180.00,135.65
102,86.55,0.6720,120.00,86.55
103,97.55,0.6680,150.00,97.55
104,133.25,0.6640,180.00,133.25
105,259.15,0.6600,330.00,259.15
106,164.30,0.6560,215.00,164.30
107,12.60,0.6520,35.00,12.60
108,146.90,0.6480,200.00,146.90
109,138.10,0.6440,180.00,138.10
110,222.85,0.6400,290.00,222.85
111,38.00,0.6360,65.00,38.00
112,408.20,0.6320,470.00,408.20
113,159.90,0.6280,210.00,159.90
114,57.25,0.6240,80.00,57.25
115,112.80,0.6200,150.00,112.80
116,114.15,0.6160,150.00,114.15
117,170.50,0.6120,210.00,170.50
118,157.90,0.6080,215.00,157.90
119,449.70,0.6040,570.00,449.70
120,291.70,0.6000,370.00,291.70
121,153.20,0.5960,210.00,153.20
122,231.40,0.5920,285.00,231.40
123,133.70,0.5880,180.00,133.70
124,93.30,0.5840,135.00,93.30
125,39.85,0.5800,65.00,39.85
126,80.65,0.5760,120.00,80.65
127,167.00,0.5720,225.00,167.00
128,163.55,0.5680,210.00,163.55
129,170.90,0.5640,225.00,170.90
130,112.20,0.5600,155.00,112.20
131,155.80,0.5560,215.00,155.80
132,85.10,0.5520,130.00,85.10
133,133.85,0.5480,180.00,133.85
134,92.50,0.5440,140.00,92.50
135,203.70,0.5400,275.00,203.70
136,140.75,0.5360,180.00,140.75
137,170.40,0.5320,225.00,170.40
138,37.85,0.5280,65.00,37.85
139,353.30,0.5240,445.00,353.30
140,211.25,0.5200,270.00,211.25
141,93.25,0.5160,135.00,93.25
142,488.20,0.5120,560.00,488.20
143,99.70,0.5080,155.00,99.70
144,114.75,0.5040,175.00,114.75
145,34.40,0.5000,65.00,34.40
146,157.15,0.4960,210.00,157.15
147,116.05,0.4920,155.00,116.05
148,65.95,0.4880,95.00,65.95
149,133.00,0.4840,180.00,133.00
150,94.65,0.4800,130.00,94.65
151,117.40,0.4760,170.00,117.40
152,202.20,0.4720,265.00,202.20
153,88.35,0.4680,125.00,88.35
154,76.80,0.4640,110.00,76.80
155,103.05,0.4600,155.00,103.05
156,82.20,0.4560,105.00,82.20
157,547.30,0.4520,620.00,547.30
158,186.10,0.4480,245.00,186.10
159,104.45,0.4440,145.00,104.45
160,149.40,0.4400,195.00,149.40
161,179.45,0.4360,240.00,179.45
162,657.10,0.4320,775.00,657.10
163,237.00,0.4280,325.00,237.00
164,58.45,0.4240,80.00,58.45
165,155.75,0.4200,215.00,155.75
166,113.65,0.4160,155.00,113.65
167,155.40,0.4120,210.00,155.40
168,154.00,0.4080,210.00,154.00
169,86.15,0.4040,120.00,86.15
170,83.15,0.4000,125.00,83.15
171,95.05,0.3960,135.00,95.05
172,202.55,0.3920,280.00,202.55
173,179.70,0.3880,240.00,179.70
174,423.10,0.3840,485.00,423.10
175,59.25,0.3800,85.00,59.25
176,322.95,0.3760,390.00,322.95
177,167.10,0.3720,225.00,167.10
178,255.85,0.3680,330.00,255.85
179,142.50,0.3640,205.00,142.50
180,153.50,0.3600,210.00,153.50
181,100.55,0.3560,145.00,100.55
182,43.50,0.3520,80.00,43.50
183,257.75,0.3480,315.00,257.75
184,112.10,0.3440,150.00,112.10
185,7.05,0.3400,45.00,7.05
186,94.05,0.3360,120.00,94.05
187,207.85,0.3320,285.00,207.85
188,70.80,0.3280,120.00,70.80
189,40.45,0.3240,80.00,40.45
190,46.80,0.3200,80.00,46.80
191,37.55,0.3160,65.00,37.55
192,77.10,0.3120,120.00,77.10
193,153.30,0.3080,215.00,153.30
194,383.30,0.3040,450.00,383.30
195,156.90,0.3000,210.00,156.90
196,100.85,0.2960,155.00,100.85
197,425.55,0.2920,530.00,425.55
198,139.20,0.2880,230.00,139.20
199,70.95,0.2840,125.00,70.95
200,175.20,0.2800,245.00,175.20
201,193.10,0.2760,265.00,193.10
202,178.10,0.2720,230.00,178.10
203,95.55,0.2680,145.00,95.55
204,144.20,0.2640,210.00,144.20
205,81.55,0.2600,140.00,81.55
206,154.85,0.2560,220.00,154.85
207,305.05,0.2520,375.00,305.05
208,91.45,0.2480,130.00,91.45
209,313.30,0.2440,380.00,313.30
210,147.60,0.2400,185.00,147.60
211,84.25,0.2360,125.00,84.25
212,173.80,0.2320,240.00,173.80
213,343.90,0.2280,415.00,343.90
214,238.45,0.2240,300.00,238.45
215,109.70,0.2200,135.00,109.70
216,215.75,0.2160,285.00,215.75
217,166.20,0.2120,210.00,166.20
218,106.95,0.2080,150.00,106.95
219,417.60,0.2040,490.00,417.60
220,221.05,0.2000,290.00,221.05
221,168.15,0.1960,225.00,168.15
222,203.90,0.1920,260.00,203.90
223,103.00,0.1880,155.00,103.00
224,72.90,0.1840,115.00,72.90
225,178.35,0.1800,215.00,178.35
226,200.35,0.1760,275.00,200.35
227,345.45,0.1720,445.00,345.45
228,329.65,0.1680,410.00,329.65
229,81.35,0.1640,115.00,81.35
230,146.55,0.1600,215.00,146.55
231,74.15,0.1560,95.00,74.15
232,160.05,0.1520,210.00,160.05
233,173.70,0.1480,215.00,173.70
234,178.80,0.1440,240.00,178.80
235,214.10,0.1400,285.00,214.10
236,370.90,0.1360,425.00,370.90
237,201.55,0.1320,285.00,201.55
238,216.75,0.1280,260.00,216.75
239,62.40,0.1240,105.00,62.40
240,96.65,0.1200,140.00,96.65
241,123.30,0.1160,155.00,123.30
242,92.45,0.1120,140.00,92.45
243,284.50,0.1080,340.00,284.50
244,281.10,0.1040,345.00,281.10
245,267.85,0.1000,345.00,267.85
246,586.20,0.1000,710.00,586.20
247,102.20,0.1000,155.00,102.20
248,186.75,0.1000,270.00,186.75
249,495.90,0.1000,565.00,495.90
250,302.65,0.1000,385.00,302.65
251,338.90,0.1000,400.00,338.90
252,64.95,0.1000,105.00,64.95
253,170.65,0.1000,235.00,170.65
254,44.80,0.1000,80.00,44.80
255,426.65,0.1000,515.00,426.65
256,253.65,0.1000,335.00,253.65
257,143.60,0.1000,180.00,143.60
258,109.20,0.1000,170.00,109.20
259,119.65,0.1000,190.00,119.65
260,170.70,0.1000,225.00,170.70
261,164.40,0.1000,210.00,164.40
262,210.65,0.1000,255.00,210.65
263,339.90,0.1000,420.00,339.90
264,441.95,0.1000,535.00,441.95
265,168.90,0.1000,210.00,168.90
266,293.45,0.1000,375.00,293.45
267,672.05,0.1000,825.00,672.05
268,405.90,0.1000,500.00,405.90
269,160.85,0.1000,200.00,160.85
270,166.20,0.1000,230.00,166.20
271,161.30,0.1000,210.00,161.30
272,219.30,0.1000,285.00,219.30
273,79.60,0.1000,130.00,79.60
274,125.85,0.1000,170.00,125.85
275,90.65,0.1000,120.00,90.65
276,214.65,0.1000,265.00,214.65
277,488.70,0.1000,575.00,488.70
278,272.50,0.1000,355.00,272.50
279,157.10,0.1000,210.00,157.10
280,103.90,0.1000,140.00,103.90
281,209.15,0.1000,285.00,209.15
282,232.85,0.1000,305.00,232.85
283,122.35,0.1000,160.00,122.35
284,175.25,0.1000,230.00,175.25
285,44.95,0.1000,75.00,44.95
286,103.15,0.1000,135.00,103.15
287,179.25,0.1000,255.00,179.25
288,71.25,0.1000,105.00,71.25
289,80.85,0.1000,115.00,80.85
290,146.55,0.1000,185.00,146.55
295,123.75,0.1000,190.00,123.75
