Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
1,226.60,1.0000,260.00,226.60,574
2,93.25,1.0000,120.00,93.25,1024
3,83.05,1.0000,105.00,83.05,1405
4,70.90,1.0000,100.00,70.90,1903
5,355.40,1.0000,395.00,355.40,2575
6,123.70,1.0000,155.00,123.70,3108
7,98.60,1.0000,130.00,98.60,3648
8,244.95,1.0000,285.00,244.95,4342
9,375.30,1.0000,410.00,375.30,4931
10,37.95,1.0000,65.00,37.95,5382
11,172.00,1.0000,210.00,172.00,6027
12,-1.30,1.0000,15.00,-1.30,6304
13,74.13,1.0000,105.00,74.13,6823
14,109.60,1.0000,145.00,109.60,7423
15,106.95,1.0000,140.00,106.95,7991
16,299.15,1.0000,335.00,299.15,8597
17,40.60,1.0000,65.00,40.60,9016
18,57.45,1.0000,80.00,57.45,9401
19,79.95,1.0000,110.00,79.95,9909
20,86.15,1.0000,110.00,86.15,10320
21,87.34,1.0000,120.00,87.34,10888
22,126.45,1.0000,160.00,126.45,11456
23,88.30,1.0000,105.00,88.30,11737
24,89.55,1.0000,110.00,89.55,12092
25,177.10,1.0000,215.00,177.10,12751
26,60.45,1.0000,80.00,60.45,13088
27,143.84,1.0000,180.00,143.84,13703
28,227.65,1.0000,275.00,227.65,14501
29,81.99,1.0000,110.00,81.99,14983
30,99.00,1.0000,125.00,99.00,15426
31,27.25,1.0000,45.00,27.25,15736
32,95.00,1.0000,125.00,95.00,16248
33,56.72,1.0000,85.00,56.72,16731
34,26.65,1.0000,50.00,26.65,17143
35,76.15,1.0000,105.00,76.15,17626
36,19.75,1.0000,35.00,19.75,17884
37,28.45,1.0000,45.00,28.45,18172
38,136.50,1.0000,180.00,136.50,18930
39,18.25,1.0000,40.00,18.25,19296
40,389.10,1.0000,425.00,389.10,19908
41,63.60,1.0000,90.00,63.60,20367
42,172.40,1.0000,210.00,172.40,21012
43,34.55,1.0000,55.00,34.55,21357
44,437.13,1.0000,485.00,437.13,22194
45,68.10,1.0000,95.00,68.10,22654
46,52.45,1.0000,80.00,52.45,23132
47,108.48,1.0000,135.00,108.48,23598
48,125.35,1.0000,165.00,125.35,24282
49,25.45,1.0000,50.00,25.45,24689
50,130.60,1.0000,160.00,130.60,25196
51,-17.60,1.0000,5.00,-17.60,25594
52,48.65,1.0000,70.00,48.65,25969
53,65.41,1.0000,95.00,65.41,26487
54,14.19,1.0000,40.00,14.19,26921
55,284.90,1.0000,325.00,284.90,27598
56,242.30,1.0000,285.00,242.30,28327
57,84.94,1.0000,110.00,84.94,28768
58,8.12,1.0000,35.00,8.12,29238
59,175.55,1.0000,210.00,175.55,29818
60,119.50,1.0000,155.00,119.50,30430
61,81.70,1.0000,110.00,81.70,30919
62,42.40,1.0000,65.00,42.40,31311
63,170.69,1.0000,225.00,170.69,32239
64,205.20,1.0000,255.00,205.20,33098
65,60.85,1.0000,95.00,60.85,33675
66,123.11,1.0000,155.00,123.11,34222
67,131.50,1.0000,155.00,131.50,34631
68,1.65,1.0000,30.00,1.65,35099
69,312.45,1.0000,350.00,312.45,35753
70,128.00,1.0000,155.00,128.00,36217
71,119.90,1.0000,150.00,119.90,36731
72,61.50,1.0000,85.00,61.50,37124
73,135.75,1.0000,165.00,135.75,37631
74,226.75,1.0000,265.00,226.75,38282
75,79.30,1.0000,105.00,79.30,38734
76,218.45,1.0000,260.00,218.45,39441
77,118.55,1.0000,145.00,118.55,39897
78,199.16,1.0000,240.00,199.16,40593
79,408.44,1.0000,460.00,408.44,41475
80,359.60,1.0000,405.00,359.60,42244
81,176.40,1.0000,215.00,176.40,42899
82,77.88,1.0000,105.00,77.88,43365
83,245.90,1.0000,285.00,245.90,44034
84,207.50,1.0000,250.00,207.50,44766
85,113.61,1.0000,150.00,113.61,45374
86,19.80,1.0000,45.00,19.80,45809
87,101.50,1.0000,125.00,101.50,46212
88,185.40,1.0000,210.00,185.40,46640
89,83.60,1.0000,110.00,83.60,47094
90,46.50,1.0000,70.00,46.50,47503
91,95.80,1.0000,120.00,95.80,47917
92,94.25,1.0000,130.00,94.25,48527
93,55.15,1.0000,80.00,55.15,48947
94,342.95,1.0000,380.00,342.95,49577
95,100.30,0.9986,135.00,100.30,50165
96,111.85,0.9972,135.00,111.85,50562
97,97.26,0.9958,125.00,97.26,51038
98,154.55,0.9943,185.00,154.55,51558
99,94.69,0.9929,120.00,94.69,52010
100,101.00,0.9915,130.00,101.00,52498
101,127.00,0.9901,155.00,127.00,52981
102,84.32,0.9887,105.00,84.32,53340
103,57.65,0.9873,85.00,57.65,53809
104,48.20,0.9859,75.00,48.20,54270
105,92.40,0.9844,120.00,92.40,54750
106,59.41,0.9830,80.00,59.41,55112
107,512.25,0.9816,560.00,512.25,55931
108,37.88,0.9802,55.00,37.88,56229
